comment;id;rating;Вопрос решен;Нравится качество выполнения заявки;Нравится качество работы сотрудников;Нравится скорость отработки заявок;Понравилось выполнение заявки;Вопрос не решен
было бы 5 звезд, но пришлось действовать через руководство, поэтому четыре. ;3921135;4;1;0;0;0;0;0
сантехник пришел в течение 20 минут. вежливый. проблему разрешил .;3921169;5;1;0;1;1;0;0
спасибо сегодня возвращался домой и запаха не почувствовал;3921394;5;1;0;0;0;0;0
Электрик прибежал оперативно и отключил сигнал пожарной тревоги. ;3921414;5;1;0;0;1;0;0
Большое спасибо! Очень оперативно 👍🏻💕;3921572;5;0;0;0;1;1;0
Все быстро и оперативно. Спасибо ;3921610;5;0;0;0;1;1;0
Проблему устранили, но не сообщили по запросу, сколько потребуется времени на её решение;3921850;4;1;0;0;0;0;0
Спасибо за прямую связь со специалистом который смог устранить неисправность!;3921888;5;1;0;0;0;1;0
проблема решена, теперь всё работает как надо;3921907;5;1;0;0;0;0;0
днём звонили был занят за рулём извините,,,, вечером пришли домой всё пересмотрели проверили вашу информацию спасибо нам всё понятно всё на каждый вопрос Вы ответили!!! спасибо Вам большое.!!!;3922048;5;1;0;0;0;1;0
Большое спасибо. Все нормально работает.;3922180;5;1;0;0;0;1;0
Очень оперативно! всë исправили;3922350;5;1;0;0;1;0;0
Быстро, качествено и оперативно. ;3922395;5;0;1;0;1;0;0
Отзвонились, зафиксировали, дежурный электрик молодец 👏🏻 ;3922415;5;0;0;1;0;0;0
всё очень быстро сделали ;3922505;5;1;0;0;1;0;0
спасибо огромное за быстрое решение моей заявки! 👍;3922516;5;1;0;0;1;1;0
Электрик пришел, все проверил и нам объяснил все. Спасибо большое! ;3922726;5;1;0;0;0;1;0
Только положительные эмоции,специалист очень ответственный,огромная благодарность!;3922770;5;0;0;1;0;1;0
Откусили конец сгоревшего Ноля. Заменили левый автомат. Будем наблюдать далее.;3922826;5;1;0;0;0;0;0
Мастеру Александру спасибо большое! ;3922849;5;0;0;1;0;0;0
Вежливые, доброжелательные. Разъяснили, подсказали.;3922963;5;1;0;1;0;0;0
Хорошая девушка менеджер ! Очень понятливая и на 100% вошла в положение всех жителей и донесла это до руководства ! Благодарю её! ;3923000;5;0;0;1;0;1;0
Спасибо большое за оперативность! Хорошего дня вам! ;3923075;5;0;0;0;1;1;0
Все хорошо !  Быстро пришел мастер сделал все четко . ;3923181;5;1;0;1;1;0;0
Самое главное,оперативно.;3923198;5;0;0;0;1;0;0
прекрасный мастер ;3923385;5;0;0;1;0;0;0
Сергей Анатольевич, мастер своего дела. Выполнил работу быстро и качественно, спасибо.;3923395;5;1;0;1;1;0;0
Отличный специалист, вопрос решен. Спасибо.;3923512;5;1;0;1;0;1;0
устранили неполадку очень оперативно и качественно. большое спасибо. ;3923554;5;1;1;0;1;1;0
Сделали после того,как написали в наш город заявки соседи ;3923598;1;1;0;0;0;0;0
Оперативно и быстро,спасибо Сергею!;3923670;5;0;0;1;1;1;0
спасибо) вы классные 🥰;3923717;5;0;0;0;0;1;0
в лучшем виде ;3923890;5;0;1;0;0;0;0
Благодарю за оперативное устранение проблемы! Отдельная благодарность мастеру за подробное разъяснение о причинах отсутствия горячейводы, приятное общение и человеческое отношение!!!;3924204;5;1;0;1;1;1;0
Спасибо большое вам за работу!;3924205;5;1;0;0;0;1;0
"все быстро и оперативно 
";3924313;5;0;0;0;1;0;0
Вопрос решен,ну мусорка снова полная.можно поставить два контейнера? ;3924411;4;1;0;0;0;0;0
Спасибо! Не делайте так больше, или хотя бы заранее предупреждайте о раннем отключении воды, чтоб люди с вечера успели её набрать!! ;3924430;5;1;0;0;0;0;0
Приехали быстро. Спасибо!;3924431;5;0;0;0;1;0;0
Всё быстро . Работа выполнена;3924473;5;1;0;0;1;0;0
спасибо, отлично ;3924568;5;1;0;0;0;1;0
спасибо за быструю реакцию!;3924647;5;0;0;0;1;0;0
Все супер;3924661;5;0;0;0;0;1;0
Претензий нет;3924836;5;1;0;0;0;0;0
Спасибо большое мастеру, все починил, объяснил! ;3924911;5;1;0;1;0;1;0
спасибо большое всем кто помог решить данную проблему ;3925142;5;1;0;0;0;1;0
Спасибо огромное Петрине Оксане Вдадимировне. Из 5 заявок  только она смогла правильно ответить на заявку. А остальных можете увольнять ,работают видно для галочки.;3925271;5;1;0;1;0;1;0
Все очень хорошо ;3925338;5;0;0;0;0;1;0
Быстро и четко!));3925362;5;0;0;0;1;0;0
замечательный шутро и быстро сделали Молодец 👍;3925459;5;1;0;1;1;0;0
спасибо. решили оперативно! ;3925547;5;1;0;0;1;1;0
Быстро качественно ;3925566;5;0;1;0;1;0;0
Отличный специалист! ;3925616;5;0;0;1;0;0;0
Спасибо Никита💪;3925656;5;0;0;1;0;0;0
Оперативно. Очень вежливый сантехник. Приятно было общаться и получить решение проблемы через 25 минут. Спасибо.;3925871;5;1;0;1;1;1;0
спасибо за информацию!;3926222;5;1;0;0;0;0;0
Очень нравится что стали поливать газон;3926410;5;1;0;0;0;1;0
мастер супер!!!;3926559;5;0;0;1;0;0;0
спасибо большое за скорость;3926660;5;0;0;0;1;1;0
Спасибо дежурному сантехнику;3926685;5;0;0;1;0;0;0
оперативно,спасибо;3926829;5;0;0;0;1;0;0
Сотрудник позвонил и всё понятно объяснил. Спасибо.;3926847;5;1;0;1;0;0;0
Спасибо Вам Татьяна. Хорошего дня 🤝👍😎;3926885;5;1;0;0;0;1;0
Благодарю УК за оперативность и решение моего вопроса.;3926964;5;1;0;0;1;0;0
хорошо ;3927060;1;1;0;0;0;0;0
Сотрудник супер,вежливый и работа выполнена на 5+;3927330;5;1;0;1;0;1;0
Спасибо. Очень быстро приняли меры.;3927378;5;1;0;0;1;1;0
Все доступно объяснили.;3927480;5;1;0;0;0;0;0
Отличный специалист. Все показал, рассказал объяснил.;3927514;5;1;0;1;0;0;0
отзывчивые менеджеры, всем спасибо за быстроту;3927621;5;0;0;1;1;0;0
Дана консультация, жду решения;3927634;5;0;0;0;0;0;1
Оперативно и четко решен вопрос. Благодарю. ;3927815;5;1;0;0;1;1;0
все на высшем уровне ;3927826;5;0;1;0;0;0;0
Спасибо,что включили кран ;3927965;5;1;0;0;0;0;0
Лучший специалист! Спасибо ;3928090;5;0;0;1;0;0;0
проблема не решена,но даны исчерпывающие разъяснения и рекомеедации;3928119;5;0;0;0;0;0;1
Идеально!;3928138;5;0;1;0;0;0;0
спасибо большое за помощь!Мария решила быстро вопрос.Настоящий специалист. ;3928192;5;1;0;1;1;1;0
все прошло быстро,спасибо сотруднику. ;3928288;5;0;0;0;1;0;0
Благодаря помощи Анастасии, быстро всё решили. Отличная, оперативная работа;3928290;5;1;0;1;1;1;0
Быстро и оперативно спасибо мастеру ;3928297;5;0;0;1;1;0;0
Спасибо за вашу работу! ;3928345;5;1;0;0;0;1;0
Все устранили в короткие сроки. Молодцы;3928349;5;1;0;0;1;1;0
быстро, качественно, без лишних вопросов и нюансов ;3928497;5;0;1;0;1;0;0
оперативно,  качественно! спасибо!;3928714;5;0;1;0;1;1;0
спасибо за быстрое решение вопроса! ;3928888;5;1;0;0;1;0;0
Мгновенно. Спасибо;3929431;5;0;0;0;1;0;0
"Оказалось, что это не авария, а нюансы системы водоснабжения и отопления.
Всё подробно объяснили, спасибо!)";3929549;5;1;0;0;0;0;0
Спасибо. Отличная работа, прекрасный коллектив ;3929557;5;1;0;1;0;1;0
Спасибо) Оперативно устранили проблему.;3929624;5;1;0;0;1;0;0
"быстро понятно спасибо 
";3929881;5;1;0;0;1;0;0
вопрос решен;3929910;5;1;0;0;0;0;0
Спасибо за проявленное участие и инциативу.;3929918;4;0;0;0;0;1;0
Хоть на заявки быстро отреагировали ;3929997;5;0;0;0;1;0;0
Заменили;3930019;5;1;0;0;0;0;0
Спасибо большое за оперативное реагирование и устранение неисправностей! ;3930202;5;1;0;0;1;1;0
Большое спасибо за оперативность решения вопроса!;3930255;5;1;0;0;1;1;0
грамотный специалист.;3930387;5;0;0;1;0;0;0
Электрик быстро пришёл и всё устранил! Спасибо, очень доволен работой! ;3930751;5;1;1;0;1;1;0
Спасибо за оперативность, желательно проверить и другие столбы освещения ;3930767;5;0;0;0;1;0;0
супер оперативно;3930838;5;0;0;0;1;0;0
быстро умтранили;3930866;5;1;0;0;1;0;0
Оперативно и качественно мастер решил проблему! Огромное спасибо ему.;3930927;5;1;1;1;1;1;0
Быстро исправили, спасибо!;3931016;5;1;0;0;1;1;0
Благодарю за помощь!;3931695;5;1;0;0;0;1;0
Оперативно, аккуратно, в удобное время. ;3932129;5;0;1;0;1;0;0
Быстро обработали заявку, спасибо за оперативность;3932312;5;1;0;0;1;1;0
Молодцы, спасибо ;3932459;5;0;0;0;0;1;0
Всё сделали отлично;3932495;5;1;0;0;0;1;0
Хороший мастер сделал всё быстро ;3932575;5;1;0;1;1;0;0
проблема решена после того как сходил в офис и разьяснил на пальцах;3932622;3;1;0;0;0;0;0
Работа выполнена,  в кратчайший срок. Благодарю ;3932847;5;1;0;0;1;1;0
Мастер пришел на следующий день и ответил на все вопросы, выдал рекомендации по устранению проблемы. Спасибо!;3932946;5;1;0;0;0;0;0
Все сделали очень быстро! Спасибо большое!;3932950;5;1;0;0;1;1;0
При личном общении были решены все вопросы, полное взаимопонимание, отлично выполненная работа... ;3932971;5;1;1;0;0;1;0
Всё супер ;3933019;5;0;0;0;0;1;0
Спасибо, всё оперативно сделано!;3933123;5;1;0;0;1;1;0
спасибо,отреагировали очень быстро!;3933159;5;0;0;0;1;1;0
очень быстро отреагировали..посмотрим ,как дальше будет..;3933243;5;0;0;0;1;0;0
Здравствуйте. Спасибо Геннадию за работу. Все проверил и решил работу. Просьба если ранее вопрос не решен, то не закрывать заявки просто так, а передавать информацию специалистам в указанной сфере. ;3933289;5;1;1;0;0;0;0
Благодарю за оперативное решение. Ответственный сотрудник держал меня в курсе выполнения заявки,за что ему отдельное спасибо.Очень клиентоориентированный подход! Спасибо!;3933331;5;1;0;1;1;1;0
спасибо! очень оперативно! 5+;3933373;5;0;0;0;1;1;0
Вауу, супер спасибо;3933799;5;0;0;0;0;1;0
Наконец то.  Спасибо. ;3933980;5;1;0;0;0;0;0
Огромное спасибо, очень помогли! Быстро и профессионально! ;3934049;5;1;0;1;1;1;0
"все нормально, спасибо


";3934120;5;1;0;0;0;0;0
Спасибо огромное Татьяне, вопрос решился очень оперативно и четко. ;3934243;5;1;0;1;1;1;0
Спасибо оператору,  деж. (аварийной) смене за оперативную работу!!!;3934485;5;0;0;0;1;1;0
Проблему решили временно, надеюсь люк поменяют;3934520;1;1;0;0;0;0;0
"Отреагировали оперативно, проблему решили и исправили по звонку телефона! 
 ";3934549;5;1;0;0;1;0;0
Ольга Птушкина  очень быстро и грамотно решила наш вопрос .Большое спасибо !!!;3934613;5;1;0;1;0;1;0
Спасибо за обратную связь! ;3934650;5;0;0;0;0;1;0
очень оперативно внесли данные по поверке ;3934651;5;1;0;0;1;0;0
Спасибо Вам большое, быстро среагировали;3934695;5;0;0;0;1;1;0
Решилось само собой;3934911;2;1;0;0;0;0;0
Сантехник очень быстро отключил воду, а сварщик очень быстро и качественно устранил проблему вновь, надеюсь, больше не увидимся ;3934913;5;1;1;1;1;0;0
Быстро среагировали ;3934970;5;0;0;0;1;0;0
Все сделали в течении часа, спасибо.;3935103;5;1;0;0;1;0;0
Большое спасибо я! Оперативно все сделали!;3935268;5;1;0;0;1;1;0
Спасибо за фотоотчет;3935291;5;0;0;0;0;1;0
Спасибо большое, свет сделали;3935478;5;1;0;0;0;1;0
Быстро отреагировали. Пятерка!👍 Спасибо.;3935483;5;0;0;0;1;1;0
Мастер своего дела!;3935575;5;0;0;1;0;0;0
отличный сантехник. спасибо за работу!;3935602;5;0;0;1;0;0;0
замечания устранены;3935655;5;1;0;0;0;0;0
Оперативно исправили неполадку. Спасибо! ;3935801;5;1;0;0;1;0;0
Огромная благодарность за оперативное и корректное решение моего вопроса!🌸;3935871;5;1;0;0;1;1;0
Супер! Спасибо большое!;3935906;5;0;0;0;0;1;0
Татьяна - супер сотрудник, оперативно решает все вопросы, касательно аренды парковочного места в Пригороде Лесном.   Татьяна максимально ответственный и отзывчивый человек!  Лучший сотрудник в Управляющей компании, по моему личному мнению!;3936198;5;0;0;1;0;0;0
Реагировали быстро отключили сигнализацию пожарный тревоги. Спасибо огромное! ;3936258;5;1;0;0;1;1;0
спасибо что проверили ! пеекрасная работа!;3936309;5;1;0;0;0;1;0
Спасибо! Оперативно!;3936353;5;0;0;0;1;0;0
ответили быстро, но увы ничего не смогут сделать.;3936497;3;0;0;0;1;0;0
спасибо за быстрое устранение проблемы ;3936508;5;1;0;0;1;0;0
Здравствуйте! Большое спасибо дежурному диспетчеру-перезвонил в течение 5 минут от подачи заявки. Благодарю за сотрудничество! С уважением, Ю. П. ;3936546;5;0;0;1;1;0;0
Четко и понятно, спасибо;3936571;5;1;0;0;0;1;0
Спасибо, оператор умничка;3936715;5;0;0;1;0;0;0
Спасибо большое. Проблему мастер решил быстро и качественно 👍!!!;3936835;5;1;1;1;1;1;0
Спасибо, Валерию! Все исправил, теперь дома тишина и спокойствие☺️;3936898;5;1;0;1;0;1;0
Лифт работает,,спасибо.;3936999;5;1;0;0;0;1;0
Спасибо , оперативно и качественно ;3937078;5;0;1;0;1;0;0
"специалисты приехали быстро, спустили грузовой застрявший лифт на 1 этаж, освободили человека. большое спасибо 
";3937325;5;1;0;0;1;1;0
Ольга, большое спасибо. Хорошего дня.;3937478;5;0;0;1;0;0;0
надписи убраны, но внешний вид панелей щита испорчен. остались царапины. ;3937801;4;1;0;0;0;0;0
Все, решили оперативно ;3937869;5;1;0;0;1;0;0
Работы непосредственно по замене сливной фурнитуры ванны выполнены быстро и качественно. А вот согласование работ - процесс бесконечный, к сожалению и не в пользу собственника. Хорошо, что удалось достичь консенсуса. ;3938059;5;1;1;0;1;0;0
Устранили быстро. Хотелось бы заметить в целом недостатки крепления как в проектировании, когда в металлическую дверь доводчики крепятся обычными саморезами. По кол-ву дырок от старых мест видно, что сама по себе методика крепления не продумана. Саморез в металл - слабо живущее решение, с недолгим жизненным циклом.;3938452;4;1;0;0;1;0;0
очень быстро ответили;3938472;5;1;0;0;1;0;0
Мастер достаточно быстро решил наш вопрос. Надо было повернуть направление регулятора температуры на батарее отопления в другую сторону. После выполнения работы аккуратно все протер,что приятно. Большое спасибо! ;3938558;5;1;1;1;1;1;0
Все оперативно и качественно!;3938590;5;0;1;0;1;0;0
Все было сделано быстро и профессионально ;3938597;5;1;0;1;1;0;0
Хороший сотрудник. Приятно общаться и получать ответы на все вопросы. ;3938642;5;0;0;1;0;1;0
Очень быстро! Оперативно ответили! Спасибо!!!;3938725;5;1;0;0;1;0;0
Спасибо мастерам за оперативность !!! ;3938879;5;0;0;1;1;0;0
Спасибо что быстро ответили👍;3938894;5;0;0;0;1;0;0
спасибо большое вам за качественную работу.;3939087;5;0;1;0;0;0;0
Спасибо Вам за понимание 👍;3939089;5;0;0;0;0;1;0
Очень приятный инженер ;3939235;5;0;0;1;0;0;0
Благодарю за починку лифта! Работает!;3939342;5;1;0;0;0;1;0
оперативно сделали, спасибо;3939350;5;1;0;0;1;0;0
Быстро и четко)спасибо;3939447;5;0;0;0;1;1;0
Спасибо большое за уборку!;3939683;5;1;0;0;0;1;0
молодцы, даже нашли время проконсультировать;3939792;5;0;0;1;0;0;0
Молодцы  большое спасибо Оксана!;3939998;5;0;0;1;0;0;0
супер, теперь кнопка светится;3940096;5;1;0;0;0;1;0
очень оперативно! спасибо огромное! ;3940214;5;0;0;0;1;1;0
Пришли,, окна подкрутили. Быстро. ;3940375;5;1;0;0;1;0;0
спасибо что поставили, теперь ждем отопления чтоб понять работает или нет. ;3940395;5;1;0;0;0;0;0
спасибо Вам за работу ;3940684;5;1;0;0;0;0;0
быстро, для подъезда вполне хорошо);3940717;5;0;0;0;1;1;0
Спасибо. Все понятно и благодушно разъяснили.;3940757;5;1;0;0;0;1;0
Быстро устранили👍🏻;3940842;5;1;0;0;1;0;0
Мастер все сделал быстро. Все отлично, работой довольна;3940861;5;1;0;1;1;1;0
Спасибо за оперативную обратную связь 🫶;3940903;5;0;0;0;1;0;0
спасибо за грамотного специалиста! ;3940995;5;0;0;1;0;0;0
отличный специалист Максим Луговой;3941055;5;0;0;1;0;0;0
Большое спасибо, всё сделали;3941141;5;1;0;0;0;1;0
Отличная работа! очень профессиональный и вежливый сотрудник!;3941162;5;0;1;1;0;0;0
быстро сработали, позвонили, сказали, что все хорошо ,ложная тревога ;3941310;5;0;0;0;1;0;0
быстро и оперативно демонтировали замок;3941386;5;1;0;0;1;0;0
Оперативно, благодарю!;3941457;5;0;0;0;1;0;0
Большое спасибо сантехнику! ;3941503;5;0;0;1;0;0;0
супер-быстро помогли. по телефону помогли все решить. отлично!;3941548;5;1;0;0;1;1;0
Лифт снова работает. Заявку исполнили очень быстро;3941672;5;1;0;0;1;0;0
Если бы не сотрудник УК Никита - уборщицы бы никогда нормально не помыли нам этаж;3941724;5;1;0;0;0;0;0
Проблема устранена, достаточно оперативно ;3941762;5;1;0;0;1;0;0
Спасибо сотруднику ук Никита, благодаря ему нам нормально  помыли  этаж, спасибо большое;3941800;5;1;0;1;0;1;0
Вопросов нет, молодцы. Супер оперативно ;3941819;5;0;0;1;1;0;0
всё прошло отлично, заранее позвонил предупредил о приходе, сделал всё быстро, вежливый, разулся хотя я говорил что не нужно у нас пыльно. Спасибо.;3941927;5;1;0;1;1;0;0
Благодарю от имени деток и их родителей!;3941951;5;0;0;0;0;1;0
Отлично, спасибо большое ;3942001;5;1;0;0;0;1;0
Оперативно мастер подошёл. Все неполадки устранены. Мастер - тактичный молодой человек. Спасибо! ;3942424;5;0;0;1;0;0;0
Исправлено ;3942447;5;1;0;0;0;0;0
Благодарю за оперативность ))Хорошего дня);3942595;5;0;0;0;1;0;0
Оперативно решили вопрос, спасибо.;3942634;5;1;0;0;1;0;0
Замечательный мастер ;3942777;5;0;0;1;0;0;0
Скорость супер ;3942812;5;0;0;0;1;0;0
Быстро проучила;3942818;5;1;0;0;1;0;0
Роман и его коллега СУПЕР специалисты 👍🏻👍🏻👍🏻;3942831;5;0;0;1;0;0;0
Спасибо большое Мария🤝 👍;3942841;5;0;0;1;0;0;0
Огромное спасибо, за помощь и проделанную Вами работу!;3942887;5;1;0;0;0;1;0
Большое спасибо Ольге - очень помогла и ответила на все вопросы ❤️❤️❤️;3943072;5;1;0;1;0;1;0
выполнена отлично!;3943196;5;1;0;0;0;1;0
Спасибо за быстрое реагирование заявки ;3943364;5;0;0;0;1;0;0
все работает,спасибо;3943589;5;1;0;0;0;0;0
супербыстро. спасибо;3943607;5;0;0;0;1;0;0
Огромное спасибо сантехнику Геннадию за качественно оказанную услугу и профессионализм. Приятно иметь дело с такими людьми.;3943634;5;0;0;1;0;0;0
Спасибо! Вопрос решен в сжатые сроки и была предоставлена обратная связь.;3944008;5;1;0;0;0;0;0
электрик снял показания. будем ждать ответ;3944164;5;1;0;0;0;0;0
спасибо огромное за понимание!;3944488;5;0;0;0;0;1;0
Течь устранена;3944509;5;1;0;0;0;0;0
Спасибо за проверку, за обратный звонок и разъяснение ;3944648;5;0;0;0;0;1;0
спасибо, но можно убирать регулярно и  без заявок;3944742;5;1;0;0;0;0;0
Быстро! Оперативно;3944810;5;0;0;0;1;0;0
Оперативно решила проблему);3944861;5;1;0;0;1;0;0
Всё быстро и оперативно!;3944876;5;0;0;0;1;0;0
Спасибо большое, всё отлично👍;3944996;5;0;0;0;0;1;0
Все быстро и в срок. Спасибо ;3945026;5;0;0;0;1;0;0
очень добрая женщина;3945035;5;0;0;1;0;0;0
Спасибо Вам большое 🌹;3945081;5;0;0;0;0;1;0
"небольшая неточность в консультации- нужно набрать код от домофона и нажать ""колокольчик"" на панели, иначе в домашний подъезд не пропускают ;)";3945243;4;0;0;0;0;0;0
Супер специалисты;3945310;5;0;0;1;0;0;0
Выполнено быстро, но хотелось бы, чтобы этого не происходило.;3945582;5;0;0;0;1;0;0
все рассказали и объяснили;3945698;5;1;0;0;0;0;0
Спасибо большое, все отлично! ;3945720;5;0;0;0;0;1;0
все оперативно, быстро, спасибо! ;3945746;5;0;0;0;1;0;0
Спасибо. На удивление, вопрос был решён быстро и оперативно. ;3945794;5;0;0;0;1;0;0
"Решил ситуацию быстро, спасибо.
";3945901;5;1;0;0;1;0;0
Спасибо большое, все выполнено быстро и качественно 😊👍;3946019;5;1;1;0;1;0;0
Андрей всё сделал хорошо ;3946026;5;0;0;1;0;0;0
да, спасибо,теперь лифт заработал;3946274;5;1;0;0;0;1;0
Специалист прекрасно выполнил работу! Благодарна за отзывчивость. Больше бы таких сотрудников.;3946414;5;0;0;1;0;0;0
"быстро решили проблему
";3946690;5;0;0;0;1;0;0
Очень оперативно справились 👍🏼;3946716;5;0;0;0;1;0;0
Спасибо очень быстро отреагировали;3946729;5;0;0;0;1;0;0
Все сделано оперативно, мастер Воронков Сергей сделал все быстро ;3946768;5;0;0;1;1;0;0
Очень оперативно решили проблему;3946799;5;0;0;0;1;0;0
Все хорошо, спасибо ;3946853;5;1;0;0;0;0;0
Добрый день. Работы исполнены. Благодарю.;3946899;5;1;0;0;0;1;0
Спасибо Татьяне, всю информацию обновили;3946934;5;1;0;1;0;0;0
Очень подробно, большое спасибо за консультацию! ;3947311;5;1;0;0;0;1;0
Огромное спасибо Сергею;3947432;5;0;0;1;0;0;0
отзывчивые, приятные, готовы были сразу оформить акт, но ещё раз проверили сушилку, и обнаружили, сто есть кнопка включения;3947727;5;0;0;1;0;0;0
"Спасибо что в нашей УК есть такие специалисты.
Причина отсутствия электричества была найдена сразу и быстро устранена.";3947806;5;0;0;1;0;0;0
Большое спасибо за роботу.;3947834;5;1;0;0;0;1;0
Прекрасно выполненная работа. Получил ценную рекомендацию на будущее. Спасибо!;3947929;5;1;1;0;0;1;0
быстро отключили пожарную вытяжку;3947984;5;1;0;0;1;0;0
Потрясающе 😻 ;3948043;5;0;0;0;0;1;0
Сделали все быстро и качественно ;3948159;5;0;1;0;1;0;0
Быстро приехал мастер , составили акт . ;3948185;5;1;0;1;1;0;0
Спасибо, Татьяна!!;3948217;5;0;0;1;0;0;0
"супер мега оперативно, спасибо !)
";3948226;5;0;0;0;1;1;0
Отличная работа мастера. Быстро и качественно;3948403;5;0;1;1;1;0;0
Большое спасибо за своевременную обратную связь! Всё чётко объяснили,культурно!;3948418;5;0;0;1;0;1;0
"отличный мастер!
большое спасибо за помощь!";3948436;5;1;0;1;0;0;0
Благодарим за оперативность и понимание;3948528;5;0;0;0;1;1;0
Спасибо большое за оперативность и качество!❤;3948632;5;0;1;0;1;0;0
спасибо, что решили свою проблему, а то как то не очень, платишь вовремя, а тебе про долг пишут. ;3948735;5;1;0;0;0;0;0
разобрались, спасибо ;3948738;5;1;0;0;0;1;0
Мастер быстро пришёл, быстро понял в чем проблема и быстро устранил её, в общем всё отлично, спасибо ;3948958;5;1;0;1;1;1;0
Работа выполнена на отлично! Быстро и качественно! Спасибо большое! ;3949033;5;1;1;0;1;1;0
спасибо. молодцы!;3949214;5;0;0;1;0;0;0
Спасибо за быстрое и качественное решение вопроса ;3949304;5;1;1;0;1;0;0
Все отлично! Специалист пришёл через 30 минут после заявки. Все оперативно починил. ;3949394;5;1;0;1;1;0;0
спасибо огромное. но уборка лифта это временное решение проблеммы. потому что в них гадят систематически. просьба выявить и наказать нарушителей;3949561;5;1;0;0;0;1;0
"Мастер - Самый Лучший! Спасибо Вам Огромное за таких сотрудников!!!! 
";3949596;5;0;0;1;0;0;0
Спасибо! Так быстро сделали , красивую светодиодную лампу поставили ;3949613;5;1;0;0;1;1;0
оперативно отреагировали на заявку, и устранили.;3949687;5;1;0;0;1;0;0
Доброго дня! Спасибо за таких Прекрасных Сотрудников! ;3949875;5;0;0;1;0;0;0
Спасибо за оперативность. После укладки плитки остались незаделанные швы на стыке. Для сравнения на 1 этаже в холле швы ровно закрыты. Просьба завершить работу до конца. ;3949884;5;0;0;0;1;0;0
"заявка выполнена. 
Со слов электрика заявка выполнена. В квартире собственник не был. Там не проживает.. ";3950162;5;1;0;0;0;0;0
мастер пришёл быстро. Все быстро сделал. ;3950433;5;1;0;1;1;0;0
"Огромнейшее спасибо.
Максимально быстро и качественно!!!
Просто сотрудник месяца 
";3950683;5;0;1;1;1;1;0
Спасибо Вам большое 🙏 за оперативность👍и качество !!!🤝;3950754;5;0;1;0;1;0;0
"Вот это скорость 😁👍
Спасибо! ";3950893;5;0;0;0;1;0;0
Шикарный специалист. Спасибо за отличную работу и скорость;3951189;5;0;0;1;1;1;0
В первый раз так быстро;3951598;5;0;0;0;1;0;0
Доброе утро, спасибо. Только большая просьба, ранее в этом светильнике мы меняли лампочку и т. к. не было лампочки с цоколем 14, мы ставили переходник, верните его пожалуйста. ;3951714;5;1;0;0;0;0;0
Оперативно и качественно ;3952062;5;0;1;0;1;0;0
Остановили течь, дали рекомендации что делать дальше. Большое спасибо! ;3952142;5;1;0;0;0;1;0
оперативно и вежливо. такого нет в москве;3952250;5;0;0;0;1;1;0
Спасибо за оперативность. Но я так и не поняла. Почему редукторы нам поставили плохие, когда всем меняли?;3952354;5;0;0;0;1;0;0
Спасибо большое. Сантехник быстро устранил засор. ;3952439;5;1;0;1;0;0;0
Огромное спасибо за оперативность 🙏;3952649;5;0;0;0;1;1;0
приехали быстро , всё сделали чётко. благодарю ;3952848;5;1;0;0;1;1;0
вода стала теплее;3953130;5;1;0;0;0;0;0
Спасибо большое мастеру, все быстро  сделал ;3953192;5;1;0;1;1;0;0
Спасибо за быструю и качественную работу.;3953263;5;0;1;0;1;0;0
Всё подробно показали и объяснили, спасибо!);3953366;5;1;0;0;0;0;0
Спасибо за разъяснения!;3953752;5;1;0;0;0;0;0
Сантехник объяснил причину проблемы, что для хорошего напора воды нужно менять на смеситель с 40 картриджем, теперь понятно! Спасибо! ;3953818;5;1;0;0;0;0;0
Быстро четко ;3953824;5;0;0;0;1;0;0
Отличный мастер, решил профессионально вопрос. Большое спасибо!!!;3954582;5;1;0;1;0;0;0
"спасибо вам большое, консультанты помогли с решением проблем, объяснили все очень доступно! спасибо вам огромное 🙏

";3954839;5;1;0;1;0;1;0
супер менеджер;3955070;5;0;0;1;0;0;0
Спасибо большое за быструю реакцию! Успокоили 💙;3955195;5;0;0;0;1;1;0
Кнопка лифта 6 этажа в грузовом лифте до сих пор не работает.;3858246;1;0;0;0;0;0;1
Кнопки все вываливаются;3861485;1;0;0;0;0;0;1
БУДЕМ ВЕРИТЬ,ЧТО ДЕЙСТВИТЕЛЬНО ТРАВИЛИ;3862765;1;1;0;0;0;0;0
"быстро прислали код.
единственное что смущает  коды легкие слишком.";4237692;5;0;0;0;1;0;0
спасибо! быстро и оперативно закрепили светильник. 👍;4237302;5;1;0;0;1;0;0
все быстро решили. спасибо;4237239;5;1;0;0;1;0;0
оперативное решение вопроса,спасибо;4237163;5;1;0;0;1;0;0
благодарю за оперативное предоставление информации!;4237053;5;1;0;0;1;0;0
всё прекрасно и оперативно, но акт хотелось бы получить;4236894;5;0;0;0;1;0;0
все отлично, большое спасибо!;4236872;5;0;0;0;0;1;0
спасибо за оперативность! супер!;4236740;5;0;0;0;1;1;0
спасибо за быстрый ответ. все понятно объяснили;4236551;5;1;0;0;1;1;0
молниеносно);4236530;5;0;0;0;1;0;0
большое спасибо за оперативный ответ;4236469;5;0;0;0;1;0;0
все отлично! сантехник оперативно пришел, при мне все устранил! видно, что спец в своем деле!;4236406;5;1;0;1;0;0;0
оперативно, профессионально. все устранено!!! спасибо!;4236382;5;1;0;1;1;0;0
мастер молодец 👍;4236102;5;0;0;1;0;0;0
